ciclo,tiempo_seg,tiempo_str,gyro_peak,dur_hasta_sig
1,14.3,00:14,40.7,20.3
2,34.7,00:34,24.9,8.4
3,43.1,00:43,35.3,28.1
4,71.1,01:11,22.1,26.9
5,98.0,01:38,28.6,33.7
6,131.7,02:11,40.6,9.7
7,141.5,02:21,23.2,14.7
8,156.1,02:36,31.4,33.0
9,189.1,03:09,68.9,24.3
10,213.5,03:33,29.4,7.3
11,220.8,03:40,48.0,9.8
12,230.6,03:50,36.2,12.7
13,243.3,04:03,27.1,13.7
14,256.9,04:16,36.3,55.2
15,312.1,05:12,27.6,15.7
16,327.8,05:27,28.6,15.2
17,343.0,05:43,56.0,23.2
18,366.2,06:06,62.9,14.5
19,380.7,06:20,22.2,11.6
20,392.3,06:32,43.8,24.9
21,417.1,06:57,22.4,8.5
22,425.7,07:05,24.9,8.3
23,433.9,07:13,24.1,18.5
24,452.4,07:32,31.3,26.0
25,478.4,07:58,35.4,26.9
26,505.3,08:25,36.9,33.9
27,539.2,08:59,42.2,10.7
28,549.9,09:09,28.8,14.5
29,564.4,09:24,23.9,51.9
30,616.3,10:16,21.6,7.7
31,624.0,10:24,29.4,18.4
32,642.4,10:42,28.0,18.8
33,661.2,11:01,30.5,25.9
34,687.1,11:27,37.7,27.7
35,714.8,11:54,23.3,11.5
36,726.3,12:06,22.5,17.3
37,743.6,12:23,24.3,9.9
38,753.5,12:33,21.9,17.1
39,770.5,12:50,26.5,25.4
40,795.9,13:15,24.3,31.3
41,827.2,13:47,37.3,34.2
42,861.4,14:21,40.4,22.4
43,883.8,14:43,22.0,10.5
44,894.3,14:54,30.1,
