frame,tiempo,tiempo_seg,peso_t,confianza
380,00:25,25.3,40,0.1
400,00:26,26.7,49,0.24
660,00:44,44.0,40,0.73
670,00:44,44.7,80,0.37
680,00:45,45.3,44,0.22
690,00:46,46.0,30,0.56
700,00:46,46.7,90,0.38
960,01:04,64.0,124,0.12
970,01:04,64.7,11,0.47
980,01:05,65.3,20,0.24
990,01:06,66.0,121,0.4
1000,01:06,66.7,121,0.21
1270,01:24,84.7,155,0.9
1290,01:26,86.0,156,0.53
1300,01:26,86.7,15,0.09
1310,01:27,87.3,156,0.39
1540,01:42,102.7,191,0.38
1550,01:43,103.3,41,0.57
1560,01:44,104.0,43,0.45
1580,01:45,105.3,190,0.51
1590,01:46,106.0,54,0.76
1840,02:02,122.7,20,0.18
1850,02:03,123.3,215,0.89
1860,02:04,124.0,216,0.78
1870,02:04,124.7,30,0.08
1880,02:05,125.3,15,0.58
1890,02:06,126.0,216,0.65
1900,02:06,126.7,45,0.36
1910,02:07,127.3,16,0.11
9290,10:19,619.3,80,0.33
